folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Interim,reasrefused,Reason refused repeat study,"",choices,"",reasonrefused,"","","",""
Interim,repeat,Willing to repeat study,"",choices,"",yesnod2,"","","",""
Interim,resting,Fall asleep lying down to rest,"",choices,"",nhchan4,ess5,"","",""
Interim,ridecar,Fall asleep riding as a passenger in a car,"",choices,"",nhchan4,ess4,"","",""
Interim,sachangepos,Treatment prescribed: change sleep position,"",choices,"",noyes01,"","","",""
Interim,sacpap,Treatment prescribed: Continuous Positive Airway Pressure (CPAP) or Bilevel Positive Airway Pressure (BiPAP),"",choices,"",noyes01,"","","",""
Interim,salosewt,Treatment prescribed: lose weight,"",choices,"",noyes01,"","","",""
Interim,samouthpiece,Treatment prescribed: use mouthpiece,"",choices,"",noyes01,oral appliance,"","",""
Interim,saother,Treatment prescribed: other,"",choices,"",noyes01,"","","",""
Interim,saspcother,Treatment prescribed: other (text),"",text,"","","","","",""
Interim,sastopdrinking,Treatment prescribed: reduce or stop drinking,"",choices,"",noyes01,"","","",""
Interim,sasurgery,Treatment prescribed: surgery (including laser),"",choices,"",noyes01,uppp;uvulopalatopharyngoplasty;somnoplasty,"","",""
Interim,scrfollowup,Follow-up number,"",integer,"","","","","",""
Interim,sitafterlunch,Fall asleep sitting quietly after lunch,"",choices,"",nhchan4,ess7;epworth sleepiness scale ,"","",""
Interim,sitpublic,Fall asleep sitting in a public place,"",choices,"",nhchan4,ess3;epworth sleepiness scale ,"","",""
Interim,sitread,Fall asleep sitting and reading,"",choices,"",nhchan4,ess1;epworth sleepiness scale ,"","",""
Interim,sittalk,Fall asleep sitting and talking to someone,"",choices,"",nhchan4,ess6;epworth sleepiness scale ,"","",""
Interim,sleepapnea,Told by doctor that you had sleep apnea,"",choices,"",yesnod,md,"","",""
Interim,sleepdisorder,Told by doctor or some other sleep disorder,"",choices,"",yesnod,md,"","",""
Interim,sleeppills,Take sleeping pills or other medication to aid in sleeping,"",choices,"",nevalw,"","","",""
Interim,snchangepos,Treatment prescribed: change sleep position,"",choices,"",noyes01,"","","",""
Interim,sncpap,Treatment prescribed: Continuous Positive Airway Pressure (CPAP) or Bilevel Positive Airway Pressure (BiPAP),"",choices,"",noyes01,"","","",""
Interim,snlosewt,Treatment prescribed: lose weight,"",choices,"",noyes01,"","","",""
Interim,snmouthpiece,Treatment prescribed: use mouthpiece,"",choices,"",noyes01,oral appliance,"","",""
Interim,snoredever,Have ever snored,"",choices,"",yesnod,"","","",""
Interim,snorehowloud,Loudness of snoring,"",choices,"",snrloud5,"","","",""
Interim,snorenow,Current snore frequency,"",choices,"",snore6,"","","",""
Interim,snother,Treatment prescribed: other,"",choices,"",noyes01,"","","",""
Interim,snspcother,Treatment prescribed: other (text),"",text,"","","","","",""
Interim,snstopdrinking,Treatment prescribed: reduce or stop drinking,"",choices,"",noyes01,alcohol,"","",""
Interim,snsurgery,Treatment prescribed: surgery (including laser),"",choices,"",noyes01,uppp;uvulopalatopharyngoplasty;somnoplasty,"","",""
Interim,spclangadmin,Other language in which interview was administered,"",text,"","","","","",""
Interim,spcnocontact,Other reason contact not made,"",text,"","","","","",""
Interim,spcothernottreated,Other reason sleep apnea not treated,"",text,"","",noncompliance,"","",""
Interim,spcreasrefused,Other reason refused repeat study,"",text,"","","","","",""
Interim,spcsleepdisorder,Other sleep disorder description,"",text,"","","","","",""
Interim,statusother,Participant Status: other (text),"",text,"","","","","",""
Interim,stopbreathing,Stopped breathing during sleep,"",choices,"",yesnod,apnea,"","",""
Interim,stoppedcar,Fall asleep in a stopped car,"",choices,"",nhchan4,ess8;epworth sleepiness scale ,"","",""
Interim,stroketia,Stroke or Transient Ischemic Attack (TIA) during interval since the prior parent exam,"",choices,"",noyes01,"","","",""
Interim,stroketiadt,Days from index date to Stroke or Transient Ischemic Attack (TIA),"",numeric,days from index date,"","","","",""
Interim,systolic1,Systolic blood pressure (BP): first reading,"",numeric,millimeters of mercury,"",mmhg,"","",""
Interim,systolic2,Systolic blood pressure (BP): second reading,"",numeric,millimeters of mercury,"",mmhg,"","",""
Interim,systolic3,Systolic blood pressure (BP): third reading,"",numeric,millimeters of mercury,"",mmhg,"","",""
Interim,treatedsleepapnea,Treated for sleep apnea since Sleep Heart Health Study (SHHS) test,"",choices,"",yesnod,cpap;continuous positive airway pressure,"","",""
Interim,treatedsnoring,Treated for snoring since sleep study,"",choices,"",yesnod,cpap;continuous positive airway pressure,"","",""
Interim,unrested,Feel unrested during the day,"",choices,"",nevalw,unrefreshed;tired,"","",""
Interim,visitdt,Days from index date to follow-up visit,"",numeric,days from index date,"","","","",""
Interim,watchtv,Fall asleep watching television,"",choices,"",nhchan4,ess2;epworth sleepiness scale ,"","",""
Interim,whiledriving,Fall asleep while driving,"",choices,"",nhchan4,doze off,"","",""
Interim,whoadmin,Who administered this form,"",choices,"",administered,"","","",""
Interim,wtprotocol,Protocol used to measure weight,"",choices,"",protocol,"","","",""
Interim,wtunits,Weight units,"",choices,"",weight,"","","",""
Interim,yraccidents,Number of automobile accidents during recent year,"",numeric,car accidents,"","","","",""
Interim,yrsdrive,Number of years driving,"",numeric,years,"","","","",""
Measurements/Administrative,pm211,Physical Measurements (Sleep Heart Health Study Visit Two (SHHS2)): Neck circumference within window,11.Neck circumference measurement within the data collection window?,choices,"",noyes01,"","","",shhs2_physicalmeasurments_bloodpressure_ankle_armindex_ecg
Measurements/Anthropometry,bmi_s1,Body mass index (BMI) (Sleep Heart Health Study Visit One (SHHS1)),Body Mass Index (BMI) at Sleep Heart Health Study Visit One (SHHS1),numeric,kilograms per square meter,"","",( weight / ( height * height ) ),true,""
Measurements/Anthropometry,bmi_s2,Body mass index (BMI) (Sleep Heart Health Study Visit Two (SHHS2)),Body Mass Index (BMI) at Sleep Heart Health Study Visit Two (SHHS2),numeric,kilograms per square meter,"","",( pm202 / ( pm207 * pm207 ) ),true,""
Measurements/Anthropometry,height,Height (Sleep Heart Health Study Visit One (SHHS1)),Height in centimeters,numeric,centimeters,"",cm,"",true,""
Measurements/Anthropometry,hip,Hip Circumference (Sleep Heart Health Study Visit One (SHHS1)),Hip measurement in centimeters,numeric,centimeters,"",cm,"",true,""
Measurements/Anthropometry,neck20,Neck Circumference (Sleep Heart Health Study Visit One (SHHS1)),Neck circumference in centimeters,numeric,centimeters,"",cm,"","",shhs1_seated_bp_weight_neck_circumference_form
Measurements/Anthropometry,pm202,Weight (Sleep Heart Health Study Visit Two (SHHS2)),A. Weight measurement  2. Weight: ____ ____ ____ . ____ (kg),numeric,kilograms,"","","",true,shhs2_physicalmeasurments_bloodpressure_ankle_armindex_ecg
Measurements/Anthropometry,pm207,Height (Sleep Heart Health Study Visit Two (SHHS2)),7. Height measurement in centimeters,numeric,centimeters,"",cm,"",true,shhs2_physicalmeasurments_bloodpressure_ankle_armindex_ecg
Measurements/Anthropometry,pm212a,Neck circumference (measurement 1) (Sleep Heart Health Study Visit Two (SHHS2)),"12. Neck circumference (Round up to nearest 1/2 cm, i.e, measurement should end with .0 or .5) a. First reading:",numeric,centimeters,"",cm,"","",shhs2_physicalmeasurments_bloodpressure_ankle_armindex_ecg
Measurements/Anthropometry,pm212b,Neck circumference (measurement 2) (Sleep Heart Health Study Visit Two (SHHS2)),"12. Neck circumference (Round up to nearest 1/2 cm, i.e, measurement should end with .0 or .5)  b. Second reading:",numeric,centimeters,"",cm,"","",shhs2_physicalmeasurments_bloodpressure_ankle_armindex_ecg
Measurements/Anthropometry,pm212c,Neck circumference (measurement 3) (Sleep Heart Health Study Visit Two (SHHS2)),"12. Neck circumference (Round up to nearest 1/2 cm, i.e, measurement should end with .0 or .5)  c. Third reading:",numeric,centimeters,"",cm,"","",shhs2_physicalmeasurments_bloodpressure_ankle_armindex_ecg
Measurements/Anthropometry,waist,Waist Circumference (Sleep Heart Health Study Visit One (SHHS1)),Waist measurement in centimeters,numeric,centimeters,"",cm,"",true,""
Measurements/Anthropometry,weight,Weight (Sleep Heart Health Study Visit One (SHHS1)),Weight in kilograms,numeric,kilograms,"",kg;wt,"",true,""
Measurements/Anthropometry,weight20,Weight at Blood Pressure (BP) measurement (Sleep Heart Health Study Visit One (SHHS1)),Weight in kilograms,numeric,kilograms,"",kg;wt,"","",shhs1_seated_bp_weight_neck_circumference_form
Measurements/Blood Pressure,aai,Ankle-arm Blood Pressure (BP) Index (Sleep Heart Health Study Visit One (SHHS1)),Ratio of ankle to arm systolic blood pressure (BP),numeric,index,"","","","",""
Measurements/Blood Pressure,ankbp,Supine ankle systolic blood pressure (BP),"",numeric,millimeters of mercury,"",mmhg,"","",""
Measurements/Blood Pressure,armbp,Supine arm systolic blood pressure (BP),"",numeric,millimeters of mercury,"",mmhg,"","",""
Measurements/Blood Pressure,avg23bpd_s2,Average Diastolic blood pressure (BP) (Sleep Heart Health Study Visit Two (SHHS2)),Average of 2nd and 3rd Diastolic Blood Pressure (BP) measures,numeric,millimeters of mercury,"",mmhg,"",true,""
Measurements/Blood Pressure,avg23bps_s2,Average Systolic blood pressure (BP) (Sleep Heart Health Study Visit Two (SHHS2)),Average of 2nd and 3rd Systolic Blood Pressure (BP) measures,numeric,millimeters of mercury,"",mmhg,"",true,""
Measurements/Blood Pressure,dias120,Diastolic blood pressure (BP): reading 1 of 3 (Sleep Heart Health Study Visit One (SHHS1)),Seated diastolic blood pressure (BP)- first reading,numeric,millimeters of mercury,"",mmhg;1st,"","",shhs1_seated_bp_weight_neck_circumference_form
Measurements/Blood Pressure,dias220,Diastolic blood pressure (BP): reading 2 of 3 (Sleep Heart Health Study Visit One (SHHS1)),Seated diastolic blood pressure (BP)- second reading,numeric,millimeters of mercury,"",mmhg;2nd,"","",shhs1_seated_bp_weight_neck_circumference_form
Measurements/Blood Pressure,dias320,Diastolic blood pressure (BP): reading 3 of 3 (Sleep Heart Health Study Visit One (SHHS1)),Seated diastolic blood pressure (BP)- third reading,numeric,millimeters of mercury,"",mmhg;3rd,"","",shhs1_seated_bp_weight_neck_circumference_form
Measurements/Blood Pressure,diasbp,Average Diastolic blood pressure (BP) (Sleep Heart Health Study Visit One (SHHS1)),Seated Diastolic Blood Pressure (BP),numeric,millimeters of mercury,"",mmhg,"",true,""
Measurements/Blood Pressure,pm217,Site of Arm blood pressure (BP) Measurement (Sleep Heart Health Study Visit Two (SHHS2)),17. Arm blood pressure (BP) site:,choices,"",armbp,"","","",shhs2_physicalmeasurments_bloodpressure_ankle_armindex_ecg
Measurements/Blood Pressure,pm220a1,Systolic blood pressure (BP) (measurement 1) (Sleep Heart Health Study Visit Two (SHHS2)),20. Seated Blood Pressure (BP): a. First reading: systolic,numeric,millimeters of mercury,"",mmhg;1st,"","",shhs2_physicalmeasurments_bloodpressure_ankle_armindex_ecg
Measurements/Blood Pressure,pm220a2,Diastolic blood pressure (BP) (measurement 1) (Sleep Heart Health Study Visit Two (SHHS2)),20. Seated Blood Pressure (BP): a. First reading: diastolic,numeric,millimeters of mercury,"",mmhg;1st,"","",shhs2_physicalmeasurments_bloodpressure_ankle_armindex_ecg
Measurements/Blood Pressure,pm220b1,Systolic blood pressure (BP) (measurement 2) (Sleep Heart Health Study Visit Two (SHHS2)),20. Seated Blood Pressure (BP): b. Second reading: systolic,numeric,millimeters of mercury,"",mmhg;2nd,"","",shhs2_physicalmeasurments_bloodpressure_ankle_armindex_ecg
Measurements/Blood Pressure,pm220b2,Diastolic blood pressure (BP) (measurement 2) (Sleep Heart Health Study Visit Two (SHHS2)),20. Seated Blood Pressure (BP): b. Second reading: diastolic,numeric,millimeters of mercury,"",mmhg;2nd,"","",shhs2_physicalmeasurments_bloodpressure_ankle_armindex_ecg
Measurements/Blood Pressure,pm220c1,Systolic blood pressure (BP) (measurement 3) (Sleep Heart Health Study Visit Two (SHHS2)),20. Seated Blood Pressure (BP): c. Third reading: systolic,numeric,millimeters of mercury,"",mmhg;3rd,"","",shhs2_physicalmeasurments_bloodpressure_ankle_armindex_ecg
Measurements/Blood Pressure,pm220c2,Diastolic blood pressure (BP) (measurement 3) (Sleep Heart Health Study Visit Two (SHHS2)),20. Seated Blood Pressure (BP): c. Third reading: diastolic,numeric,millimeters of mercury,"",mmhg;3rd,"","",shhs2_physicalmeasurments_bloodpressure_ankle_armindex_ecg
Measurements/Blood Pressure,pm227,Site of Arm (Ankle Arm Blood Pressure Index-AAI) Measurement (Sleep Heart Health Study Visit Two (SHHS2)),27. Arm blood pressure (BP) site for Ankle Arm Blood Pressure Index (AAI):,choices,"",armbp,"","","",shhs2_physicalmeasurments_bloodpressure_ankle_armindex_ecg
Measurements/Blood Pressure,syst120,Systolic blood pressure (BP): reading 1 of 3 (Sleep Heart Health Study Visit One (SHHS1)),Seated systolic blood pressure (BP)- first reading,numeric,millimeters of mercury,"",mmhg;1st,"","",shhs1_seated_bp_weight_neck_circumference_form
